,County,Year,Scenario,TC
0,ANDERSON,2015,ssp245,22.0
1,ANDERSON,2015,ssp585,13.0
2,ANDREWS,2015,ssp245,0.0
3,ANDREWS,2015,ssp585,0.0
4,ANGELINA,2015,ssp245,16.0
5,ANGELINA,2015,ssp585,13.0
6,ARANSAS,2015,ssp245,4.0
7,ARANSAS,2015,ssp585,9.0
8,ARCHER,2015,ssp245,22.0
9,ARCHER,2015,ssp585,13.0
10,ARMSTRONG,2015,ssp245,15.0
11,ARMSTRONG,2015,ssp585,17.0
12,ATASCOSA,2015,ssp245,1.0
13,ATASCOSA,2015,ssp585,7.0
14,AUSTIN,2015,ssp245,4.0
15,AUSTIN,2015,ssp585,8.0
16,BAILEY,2015,ssp245,31.0
17,BAILEY,2015,ssp585,18.0
18,BANDERA,2015,ssp245,3.0
19,BANDERA,2015,ssp585,7.0
20,BASTROP,2015,ssp245,4.0
21,BASTROP,2015,ssp585,8.0
22,BAYLOR,2015,ssp245,22.0
23,BAYLOR,2015,ssp585,13.0
24,BEE,2015,ssp245,3.0
25,BEE,2015,ssp585,9.0
26,BELL,2015,ssp245,8.0
27,BELL,2015,ssp585,8.0
28,BEXAR,2015,ssp245,3.0
29,BEXAR,2015,ssp585,7.0
30,BLANCO,2015,ssp245,4.0
31,BLANCO,2015,ssp585,8.0
32,BORDEN,2015,ssp245,5.0
33,BORDEN,2015,ssp585,0.0
34,BOSQUE,2015,ssp245,15.0
35,BOSQUE,2015,ssp585,9.0
36,BOWIE,2015,ssp245,31.0
37,BOWIE,2015,ssp585,18.0
38,BRAZORIA,2015,ssp245,8.0
39,BRAZORIA,2015,ssp585,10.0
40,BRAZOS,2015,ssp245,12.0
41,BRAZOS,2015,ssp585,9.0
42,BREWSTER,2015,ssp245,0.0
43,BREWSTER,2015,ssp585,0.0
44,BRISCOE,2015,ssp245,8.0
45,BRISCOE,2015,ssp585,4.0
46,BROOKS,2015,ssp245,1.0
47,BROOKS,2015,ssp585,5.0
48,BROWN,2015,ssp245,0.0
49,BROWN,2015,ssp585,0.0
50,BURLESON,2015,ssp245,31.0
51,BURLESON,2015,ssp585,18.0
52,BURNET,2015,ssp245,8.0
53,BURNET,2015,ssp585,8.0
54,CALDWELL,2015,ssp245,4.0
55,CALDWELL,2015,ssp585,8.0
56,CALHOUN,2015,ssp245,4.0
57,CALHOUN,2015,ssp585,9.0
58,CALLAHAN,2015,ssp245,12.0
59,CALLAHAN,2015,ssp585,7.0
60,CAMERON,2015,ssp245,0.0
61,CAMERON,2015,ssp585,0.0
62,CAMP,2015,ssp245,25.0
63,CAMP,2015,ssp585,13.0
64,CARSON,2015,ssp245,15.0
65,CARSON,2015,ssp585,17.0
66,CASS,2015,ssp245,25.0
67,CASS,2015,ssp585,13.0
68,CASTRO,2015,ssp245,3.0
69,CASTRO,2015,ssp585,4.0
70,CHAMBERS,2015,ssp245,10.0
71,CHAMBERS,2015,ssp585,12.0
72,CHEROKEE,2015,ssp245,22.0
73,CHEROKEE,2015,ssp585,13.0
74,CHILDRESS,2015,ssp245,23.0
75,CHILDRESS,2015,ssp585,10.0
76,CLAY,2015,ssp245,39.0
77,CLAY,2015,ssp585,26.0
78,COCHRAN,2015,ssp245,0.0
79,COCHRAN,2015,ssp585,0.0
80,COKE,2015,ssp245,6.0
81,COKE,2015,ssp585,3.0
82,COLEMAN,2015,ssp245,12.0
83,COLEMAN,2015,ssp585,7.0
84,COLLIN,2015,ssp245,30.0
85,COLLIN,2015,ssp585,16.0
86,COLLINGSWORTH,2015,ssp245,38.0
87,COLLINGSWORTH,2015,ssp585,19.0
88,COLORADO,2015,ssp245,4.0
89,COLORADO,2015,ssp585,9.0
90,COMAL,2015,ssp245,4.0
91,COMAL,2015,ssp585,8.0
92,COMANCHE,2015,ssp245,12.0
93,COMANCHE,2015,ssp585,7.0
94,CONCHO,2015,ssp245,4.0
95,CONCHO,2015,ssp585,6.0
96,COOKE,2015,ssp245,30.0
97,COOKE,2015,ssp585,16.0
98,CORYELL,2015,ssp245,8.0
99,CORYELL,2015,ssp585,8.0
100,COTTLE,2015,ssp245,23.0
101,COTTLE,2015,ssp585,10.0
102,CRANE,2015,ssp245,0.0
103,CRANE,2015,ssp585,0.0
104,CROCKETT,2015,ssp245,0.0
105,CROCKETT,2015,ssp585,2.0
106,CROSBY,2015,ssp245,5.0
107,CROSBY,2015,ssp585,0.0
108,CULBERSON,2015,ssp245,0.0
109,CULBERSON,2015,ssp585,0.0
110,DALLAM,2015,ssp245,16.0
111,DALLAM,2015,ssp585,21.0
112,DALLAS,2015,ssp245,30.0
113,DALLAS,2015,ssp585,16.0
114,DAWSON,2015,ssp245,0.0
115,DAWSON,2015,ssp585,0.0
116,DE WITT,2015,ssp245,3.0
117,DE WITT,2015,ssp585,9.0
118,DEAF SMITH,2015,ssp245,6.0
119,DEAF SMITH,2015,ssp585,12.0
120,DELTA,2015,ssp245,27.0
121,DELTA,2015,ssp585,16.0
122,DENTON,2015,ssp245,30.0
123,DENTON,2015,ssp585,16.0
124,DICKENS,2015,ssp245,5.0
125,DICKENS,2015,ssp585,0.0
126,DIMMIT,2015,ssp245,0.0
127,DIMMIT,2015,ssp585,5.0
128,DONLEY,2015,ssp245,15.0
129,DONLEY,2015,ssp585,17.0
130,DUVAL,2015,ssp245,0.0
131,DUVAL,2015,ssp585,4.0
132,EASTLAND,2015,ssp245,12.0
133,EASTLAND,2015,ssp585,7.0
134,ECTOR,2015,ssp245,0.0
135,ECTOR,2015,ssp585,0.0
136,EDWARDS,2015,ssp245,1.0
137,EDWARDS,2015,ssp585,6.0
138,EL PASO,2015,ssp245,0.0
139,EL PASO,2015,ssp585,0.0
140,ELLIS,2015,ssp245,22.0
141,ELLIS,2015,ssp585,10.0
142,ERATH,2015,ssp245,15.0
143,ERATH,2015,ssp585,9.0
144,FALLS,2015,ssp245,12.0
145,FALLS,2015,ssp585,9.0
146,FANNIN,2015,ssp245,27.0
147,FANNIN,2015,ssp585,16.0
148,FAYETTE,2015,ssp245,7.0
149,FAYETTE,2015,ssp585,10.0
150,FISHER,2015,ssp245,17.0
151,FISHER,2015,ssp585,4.0
152,FLOYD,2015,ssp245,8.0
153,FLOYD,2015,ssp585,4.0
154,FOARD,2015,ssp245,23.0
155,FOARD,2015,ssp585,10.0
156,FORT BEND,2015,ssp245,8.0
157,FORT BEND,2015,ssp585,10.0
158,FRANKLIN,2015,ssp245,27.0
159,FRANKLIN,2015,ssp585,16.0
160,FREESTONE,2015,ssp245,22.0
161,FREESTONE,2015,ssp585,13.0
162,FRIO,2015,ssp245,1.0
163,FRIO,2015,ssp585,7.0
164,GAINES,2015,ssp245,0.0
165,GAINES,2015,ssp585,0.0
166,GALVESTON,2015,ssp245,10.0
167,GALVESTON,2015,ssp585,12.0
168,GARZA,2015,ssp245,5.0
169,GARZA,2015,ssp585,0.0
170,GILLESPIE,2015,ssp245,5.0
171,GILLESPIE,2015,ssp585,8.0
172,GLASSCOCK,2015,ssp245,2.0
173,GLASSCOCK,2015,ssp585,1.0
174,GOLIAD,2015,ssp245,3.0
175,GOLIAD,2015,ssp585,9.0
176,GONZALES,2015,ssp245,4.0
177,GONZALES,2015,ssp585,8.0
178,GRAY,2015,ssp245,30.0
179,GRAY,2015,ssp585,16.0
180,GRAYSON,2015,ssp245,30.0
181,GRAYSON,2015,ssp585,16.0
182,GREGG,2015,ssp245,21.0
183,GREGG,2015,ssp585,12.0
184,GRIMES,2015,ssp245,14.0
185,GRIMES,2015,ssp585,12.0
186,GUADALUPE,2015,ssp245,4.0
