,COUNTY,lat,lon
0,ANDERSON,31.7819242,-95.6258199
1,ANDREWS,32.2690953,-102.6042447
2,ANGELINA,31.29955665,-94.72908493155225
3,ARANSAS,28.0464341,-97.04301651398777
4,ARCHER,33.5816594,-98.7044869
5,ARMSTRONG,34.9295608,-101.3449139
6,ATASCOSA,28.8554434,-98.5316314
7,AUSTIN,30.166608500000002,-97.78901099999999
8,BAILEY,32.88140464999999,-97.38386610157428
9,BANDERA,29.51723045,-98.6351223
10,BASTROP,30.0541116,-97.3887764
11,BAYLOR,33.574962,-99.2000611
12,BEE,28.3871179,-97.7191838
13,BELL,31.0709639,-97.6609701
14,BEXAR,29.5339813,-98.57083706972472
15,BLANCO,30.2419274,-98.4004594
16,BORDEN,32.6879416,-101.425711
17,BOSQUE,31.8778358,-97.6561014
18,BOWIE,33.53989,-97.835519
19,BRAZORIA,29.42375045,-95.23012385
20,BRAZOS,30.6592945,-96.3311245
21,BREWSTER,29.8462742,-103.2400734
22,BRISCOE,34.4795161,-101.1875029
23,BROOKS,26.9879856,-98.2071041
24,BROWN,25.9228904,-97.47904588858697
25,BURLESON,32.5291914,-97.3394487102591
26,BURNET,30.7763939,-98.1700016
27,CALDWELL,29.8560115,-97.66770321959143
28,CALHOUN,28.5031572,-96.6736551
29,CALLAHAN,32.2810409,-99.3612437
30,CAMERON,26.1811612,-97.71538265
31,CAMP,32.9723128,-94.9852858
32,CARSON,35.3636563,-101.3353895
33,CASS,33.0560857,-94.3510366
34,CASTRO,34.4952536,-102.2592314
35,CHAMBERS,29.8187547,-94.8982148
36,CHEROKEE,31.93634,-95.2472645
37,CHILDRESS,34.519656850000004,-100.20676557187427
38,CLAY,33.6856157,-98.2123296
39,COCHRAN,33.4870424,-102.6163092
40,COKE,31.8695226,-100.5474369
41,COLEMAN,31.7766863,-99.4461098
42,COLLIN,33.079005,-96.730587
43,COLLINGSWORTH,34.9487017,-100.2669137
44,COLORADO,28.0464341,-97.04301651398777
45,COMAL,29.7979704,-98.2690787
46,COMANCHE,31.9130171,-98.527388
47,CONCHO,31.3102947,-99.8507578
48,COOKE,33.582486,-97.2055298
49,CORYELL,31.12010135,-97.87129289655022
50,COTTLE,34.0573118,-100.283259
51,CRANE,31.4486118,-102.5163544
52,CROCKETT,30.6517377,-101.3766686
53,CROSBY,33.5778818,-101.2855737
54,CULBERSON,31.4622625,-104.482834
55,DALLAM,36.3127064,-102.616685
56,DALLAS,32.77480490000001,-96.86081128092721
57,DAWSON,32.7410762,-101.9576048
58,DE WITT,29.0931328,-97.3158457
59,DEAF SMITH,34.9323974,-102.5983118
60,DELTA,33.3926893,-95.6749486
61,DENTON,33.2314189,-97.1344674
62,DICKENS,33.6170056,-100.7614115
63,DIMMIT,28.3821949,-99.7178226
64,DONLEY,34.9315007,-100.8145306
65,DUVAL,27.6708701,-98.5121975
66,EASTLAND,32.2978594,-98.8630896
67,ECTOR,31.892678,-102.3414021
68,EDWARDS,29.9116617,-100.3457636
69,EL PASO,31.75685095,-106.2725696719236
70,ELLIS,32.3347829,-96.7920233
71,ERATH,32.1954856,-98.2213499
72,FALLS,31.2320941,-96.9262126
73,FANNIN,33.5372542,-96.0902822
74,FAYETTE,29.8381635,-96.9559692
75,FISHER,32.7090882,-100.3811922
76,FLOYD,34.0266015,-101.2765537
77,FOARD,33.9502317,-99.7310158
78,FORT BEND,29.5591189,-95.76121582253487
79,FRANKLIN,33.2002659,-95.2231752
80,FREESTONE,31.6924428,-96.1629601
81,FRIO,28.8352831,-99.1226618
82,GAINES,32.7044935,-102.6220553
83,GALVESTON,29.3273955,-94.7710535
84,GARZA,33.1414018,-101.287742
85,GILLESPIE,30.2954086,-98.9086643
86,GLASSCOCK,31.8640224,-101.4811312
87,GOLIAD,28.6467776,-97.4379552
88,GONZALES,29.4436555,-97.5108636
89,GRAY,33.5636114,-96.6702111
90,GRAYSON,33.5636114,-96.6702111
91,GREGG,32.49949805,-94.75124525000001
92,GRIMES,30.488813299999997,-95.98688725424327
93,GUADALUPE,29.56536375,-98.25832105
94,HALE,34.0321298,-101.8088827
95,HALL,34.5036637,-100.6536777
96,HAMILTON,31.6429346,-97.9715967
97,HANSFORD,36.2563401,-101.3621472
98,HARDEMAN,34.2510707,-99.7322571
99,HARDIN,30.256206300000002,-94.21580049311316
100,HARRIS,30.399116499999998,-97.64000380197064
101,HARRISON,32.5233959,-94.3982158
102,HARTLEY,35.8418438,-102.6145811
103,HASKELL,33.1542164,-99.7199972
104,HAYS,30.0447901,-98.0393127
105,HEMPHILL,35.8293476,-100.2564532
106,HENDERSON,32.33913475,-97.41274448534242
107,HIDALGO,26.18148455,-98.04031370381884
108,HILL,32.8440427,-97.2411981
109,HOCKLEY,33.818646,-102.614103
110,HOOD,32.4107555,-97.828282
111,HOPKINS,33.1368252,-95.5656578
112,HOUSTON,31.3378465,-95.390805
113,HOWARD,32.3047833,-101.4271085
114,HUDSPETH,31.5388627,-105.4752945
115,HUNT,33.1161567,-96.0808922
116,HUTCHINSON,35.8148236,-101.34844
117,IRION,31.2931196,-100.980073
118,JACK,31.951209,-95.264297
119,JACKSON,31.951209,-95.264297
120,JASPER,30.9065892,-94.0147954
121,JEFF DAVIS,30.7018281,-104.150169
122,JEFFERSON,30.049156,-94.109426
123,JIM HOGG,27.0065425,-98.7047316
124,JIM WELLS,27.768356,-98.04122068090504
125,JOHNSON,32.33913475,-97.41274448534242
126,JONES,32.7135946,-99.8606106
127,KARNES,28.8791858,-97.9062893
128,KAUFMAN,32.8064596,-96.4861413
129,KENDALL,29.943885,-98.7258845
130,KENEDY,26.9205171,-97.7461361
131,KENT,33.1665316,-100.7846477
132,KERR,30.045717,-99.3884839
133,KIMBLE,30.4744131,-99.8199792
134,KING,33.2314189,-97.1344674
135,KINNEY,29.326416,-100.4165707
136,KLEBERG,27.3983129,-97.7485096
137,KNOX,33.5871385,-99.7073621
138,LA SALLE,28.3391148,-99.0982257
139,LAMAR,33.6383552,-95.582343
140,LAMB,34.0321667,-102.3429233
141,LAMPASAS,31.1761363,-98.240563
142,LAVACA,29.3703333,-96.9334531
143,LEE,30.3031353,-96.9588587
144,LEON,31.2715127,-95.9953382
145,LIBERTY,30.0856736,-94.7856262
146,LIMESTONE,31.5261854,-96.580617
147,LIPSCOMB,36.2695629,-100.2711772
148,LIVE OAK,28.2678746,-98.101923
149,LLANO,30.6663312,-98.6970374
150,LOVING,31.8364044,-103.5663536
151,LUBBOCK,33.51910745,-101.95573167523031
152,LYNN,33.1474257,-101.812592
153,MADISON,30.9551586,-95.9507234
154,MARION,32.7931661,-94.344488
155,MARTIN,32.2675039,-101.9190317
156,MASON,30.705029,-99.2233284
157,MATAGORDA,28.8879823,-96.0035095
158,MAVERICK,28.7012876,-100.4828633
159,MC CULLOCH,31.1699604,-99.3885277
160,MC LENNAN,31.5487691,-97.2189254
161,MC MULLEN,28.3138785,-98.5527241
162,MEDINA,29.2836281,-99.1126826
163,MENARD,30.8573562,-99.8320637
164,MIDLAND,31.83688,-102.0103767
165,MILAM,30.6440288,-97.03352225438684
166,MILLS,31.4861082,-98.5527272
167,MITCHELL,32.2898049,-100.9213003
168,MONTAGUE,33.53989,-97.835519
169,MONTGOMERY,30.301949,-95.5065944
170,MOORE,35.8156121,-101.9104355
171,MORRIS,33.0738633,-94.7392197
172,MOTLEY,34.0395459,-100.7744062
173,NACOGDOCHES,31.5970503,-94.5927451
174,NAVARRO,32.0874526,-96.45552505916288
175,NEWTON,30.8118989,-93.740504
176,NOLAN,26.241424799999997,-98.24392980075316
177,NUECES,27.6847553,-97.32527016663553
178,OCHILTREE,36.2559217,-100.8138152
179,OLDHAM,35.3907651,-102.6193428
180,ORANGE,30.1228634,-93.9041169
181,PALO PINTO,32.7215726,-98.2814881
182,PANOLA,32.1367712,-94.3130073
183,PARKER,32.77725975,-97.80455986920202
184,PARMER,32.77725975,-97.80455986920202
185,PECOS,30.7857437,-102.8065415
186,POLK,30.7642828,-94.8192175
187,POTTER,35.3683354,-101.8776577
188,PRESIDIO,29.9883766,-104.233655
189,RAINS,32.8685085,-95.7964017
190,RANDALL,35.15878535,-101.92125462500803
191,REAGAN,31.3458428,-101.5295291
192,REAL,29.7949383,-99.8280905
193,RED RIVER,33.571979,-95.0429674
194,REEVES,31.232003,-103.6583657
195,REFUGIO,28.3171012,-97.2394101
196,ROBERTS,31.0339058,-96.5079742
197,ROBERTSON,31.0339058,-96.5079742
198,ROCKWALL,32.8923464,-96.4066987
199,RUNNELS,31.8282551,-99.9779922
200,RUSK,32.051377,-94.7906553
201,SABINE,31.3325489,-93.8722218
202,SAN AUGUSTINE,31.3970365,-94.1751389
203,SAN JACINTO,30.5083577,-95.1902362
204,SAN PATRICIO,27.89598995,-97.30575865
205,SAN SABA,31.122268,-98.8397049
206,SCHLEICHER,30.8791222,-100.5418961
207,SCURRY,32.7225172,-100.9052015
208,SHACKELFORD,32.7088752,-99.3307616
209,SHELBY,31.7716364,-94.1301652
210,SHERMAN,36.2452294,-101.8858689
211,SMITH,32.274828,-95.30825808007646
212,SOMERVELL,32.2275813,-97.7724138
213,STARR,32.947141,-97.3366591
214,STEPHENS,32.6944793,-98.8200722
215,STERLING,31.8151416,-101.0452671
216,STONEWALL,33.1571742,-100.2453011
217,SUTTON,30.51216325,-100.53841807826248
218,SWISHER,34.47235,-101.7119955
219,TARRANT,32.88140464999999,-97.38386610157428
220,TAYLOR,32.2793121,-99.8812612
221,TERRELL,30.1990738,-102.0974881
222,TERRY,33.1514254,-102.3328121
223,THROCKMORTON,33.1571081,-99.2017838
224,TITUS,33.2040399,-94.9651725
225,TOM GREEN,31.3782559,-100.4133839
226,TRAVIS,32.8064596,-96.4861413
227,TRINITY,32.75436,-96.82432
228,TYLER,32.274828,-95.30825808007646
229,UPSHUR,32.7263725,-94.9286251
230,UPTON,31.3720387,-102.0386055
231,UVALDE,29.300357,-99.7733181
232,VAL VERDE,29.9153286,-101.1284631
233,VAN ZANDT,32.5375642,-95.8292165
